cliente_id,tipo_piel,tono_base,ciudad
CLIENTE_001,Grasa,N150,Manizales
CLIENTE_002,Grasa,,Manizales
CLIENTE_003,Grasa,C220,Manizales
CLIENTE_004,Grasa,W160,Manizales
CLIENTE_005,Combinada,,Manizales
CLIENTE_006,Grasa,N150,Manizales
CLIENTE_007,Seca,N150,Manizales
CLIENTE_008,__,N150,Manizales
CLIENTE_009,Combinada,N190,Pensilvania
CLIENTE_010,Combinada,W180,Manizales
CLIENTE_011,Combinada,N150 Bronze,Manizales
CLIENTE_012,Combinada,W180,Manizales
CLIENTE_013,Combinada,,Manizales
CLIENTE_014,Combinada,N150,Manizales
CLIENTE_015,Grasa,W180,Manizales
CLIENTE_016,Combinada,N150,Manizales
CLIENTE_017,Combinada,,Manizales
CLIENTE_018,Combinada,N150,Manizales
CLIENTE_019,Combinada,W160,Manizales
CLIENTE_020,,N200,Manizales
CLIENTE_021,Combinada,,Manizales
CLIENTE_022,Combinada,W180,Manizales
CLIENTE_023,Combinada,W160,Manizales
CLIENTE_024,Combinada,W160,Manizales
CLIENTE_025,__,,Manizales
CLIENTE_026,Combinada,W160,Manizales
CLIENTE_027,Combinada,N150,Manizales
CLIENTE_028,Combinada,,Manizales
CLIENTE_029,Grasa,N200,Manizales
CLIENTE_030,Seca,W180,Manizales
CLIENTE_031,Seca,,Manizales
CLIENTE_032,Combinada,,Manizales
CLIENTE_033,Normal,C220,Manizales
CLIENTE_034,,,Manizales
CLIENTE_035,,,Manizales
CLIENTE_036,Normal,,Manizales
CLIENTE_037,Combinada,N150,Manizales
CLIENTE_038,Combinada,N150,Manizales
CLIENTE_039,Combinada,100,Manizales
CLIENTE_040,Normal,W180,Manizales
CLIENTE_041,Combinada,W180,Manizales
CLIENTE_042,,W150,Manizales
CLIENTE_043,Combinada,,Manizales
CLIENTE_044,Grasa,W180,Manizales
CLIENTE_045,Combinada,,Manizales
CLIENTE_046,Seca,N150,Manizales
CLIENTE_047,Combinada,,Manizales
CLIENTE_048,Combinada,W160,Manizales
CLIENTE_049,Combinada,W180,Manizales
CLIENTE_050,Combinada,,Manizales
CLIENTE_051,,N150,Manizales
CLIENTE_052,,N150,Manizales
CLIENTE_053,Grasa,N150,Manizales
CLIENTE_054,,W180,Manizales
CLIENTE_055,Seca,,Manizales
CLIENTE_056,Combinada,,Manizales
CLIENTE_057,Combinada,N200,Manizales
CLIENTE_058,Normal,W180,Manizales
CLIENTE_059,,W160,Manizales
CLIENTE_060,Combinada,N150,Manizales
CLIENTE_061,Combinada,C220,Manizales
CLIENTE_062,Combinada,W160,Manizales
CLIENTE_063,Grasa,W150,Manizales
CLIENTE_064,Seca,N150,Manizales
CLIENTE_065,Seca,N200,Manizales
CLIENTE_066,Grasa,,Manizales
CLIENTE_067,Combinada,W180,Manizales
CLIENTE_068,,W160,Manizales
CLIENTE_069,Seca,N150,Manizales
CLIENTE_070,Seca,,Manizales
CLIENTE_071,,N150,Manizales
CLIENTE_072,,,Manizales
CLIENTE_073,Combinada,,Manizales
CLIENTE_074,Combinada,N150,Manizales
CLIENTE_075,Combinada,,Manizales
CLIENTE_076,Combinada,W160,Manizales
CLIENTE_077,Seca,,Manizales
CLIENTE_078,Grasa,W180,Manizales
CLIENTE_079,Grasa,W160,Manizales
CLIENTE_080,Grasa,N200,Manizales
CLIENTE_081,Grasa,W180,Manizales
CLIENTE_082,Normal,N150,Manizales
CLIENTE_083,Seca,W120,Manizales
CLIENTE_084,,W180,Manizales
CLIENTE_085,Grasa,W180,Manizales
CLIENTE_086,,,Manizales
CLIENTE_087,Combinada,N150,Manizales
CLIENTE_088,,W180,Manizales
CLIENTE_089,Combinada,W180,Manizales
CLIENTE_090,,N150,Manizales
CLIENTE_091,,,Manizales
CLIENTE_092,Grasa,   ,Manizales
CLIENTE_093,,,Manizales
CLIENTE_094,Combinada,W160,Manizales
CLIENTE_095,Normal,N150,Manizales
CLIENTE_096,Normal,W150,Manizales
CLIENTE_097,,W180,Manizales
CLIENTE_098,Grasa,__,Manizales
CLIENTE_099,Grasa,W160,Manizales
CLIENTE_100,Grasa,W180,Manizales
CLIENTE_101,Combinada,W160,Manizales
CLIENTE_102,Grasa,N150,Manizales
CLIENTE_103,Combinada,,Manizales
CLIENTE_104,Combinada,,Manizales
CLIENTE_105,Grasa,W180,Manizales
CLIENTE_106,Combinada,,Manizales
CLIENTE_107,,,Manizales
CLIENTE_108,Normal,N150,Manizales
CLIENTE_109,Combinada,W180,Manizales
CLIENTE_110,,W120,Manizales
CLIENTE_111,Combinada,W180,Manizales
CLIENTE_112,Seca,N150,Manizales
CLIENTE_113,Combinada,N200,Manizales
CLIENTE_114,,W180,Manizales
CLIENTE_115,,W150,Manizales
CLIENTE_116,Seca,N150,Manizales
CLIENTE_117,Grasa,N150,Manizales
CLIENTE_118,Grasa,,Manizales
CLIENTE_119,,,Manizales
CLIENTE_120,Combinada,W180,Manizales
CLIENTE_121,Combinada,W180,Manizales
CLIENTE_122,Combinada,W150,Manizales
CLIENTE_123,Combinada,W120,Manizales
CLIENTE_124,Grasa,N150,Manizales
CLIENTE_125,,W180,Manizales
CLIENTE_126,Combinada,W180,Manizales
CLIENTE_127,Combinada,,Manizales
CLIENTE_128,Grasa,W160,Manizales
CLIENTE_129,Normal,,Manizales
CLIENTE_130,Grasa,N200,Manizales
CLIENTE_131,,,Manizales
CLIENTE_132,,W180,Manizales
CLIENTE_133,,,Manizales
CLIENTE_134,,W160,Manizales
CLIENTE_135,,N150,Manizales
CLIENTE_136,Seca,W160,Manizales
CLIENTE_137,,W160,Manizales
CLIENTE_138,Combinada,C220,Manizales
CLIENTE_139,Combinada,W180,Manizales
CLIENTE_140,Combinada,N150,Manizales
CLIENTE_141,Normal,N150,Manizales
CLIENTE_142,Normal,W180,Manizales
CLIENTE_143,,,Manizales
CLIENTE_144,Grasa,N150,Manizales
CLIENTE_145,Combinada,,Manizales
CLIENTE_146,Normal,C220,Manizales
CLIENTE_147,Seca,N200,Manizales
CLIENTE_148,,,Manizales
CLIENTE_149,Grasa,,Manizales
CLIENTE_150,Combinada,,Manizales
